round,week_start,iso_year,iso_week,game_count,includes_final
1,2023-02-27,2023,9,8,0
2,2023-03-06,2023,10,8,0
3,2023-03-13,2023,11,8,0
4,2023-03-20,2023,12,8,0
5,2023-03-27,2023,13,8,0
6,2023-04-03,2023,14,7,0
7,2023-04-10,2023,15,9,0
8,2023-04-17,2023,16,6,0
9,2023-04-24,2023,17,10,0
10,2023-05-01,2023,18,8,0
11,2023-05-08,2023,19,8,0
12,2023-05-15,2023,20,8,0
13,2023-05-22,2023,21,5,0
14,2023-05-29,2023,22,7,0
15,2023-06-05,2023,23,7,0
16,2023-06-12,2023,24,6,0
17,2023-06-19,2023,25,7,0
18,2023-06-26,2023,26,8,0
19,2023-07-03,2023,27,5,0
20,2023-07-10,2023,28,7,0
21,2023-07-17,2023,29,8,0
22,2023-07-24,2023,30,8,0
23,2023-07-31,2023,31,8,0
24,2023-08-07,2023,32,8,0
25,2023-08-14,2023,33,8,0
26,2023-08-21,2023,34,8,0
27,2023-08-28,2023,35,8,0
28,2023-09-04,2023,36,4,1
29,2023-09-11,2023,37,2,1
30,2023-09-18,2023,38,2,1
31,2023-09-25,2023,39,1,1
